KabKota_Angka,Pengeluaran_PerKapita,Total_Pengeluaran_RT,Makanan_Rupiah,NonMakanan_Rupiah,Kalori_PerKapita,Penimbang_Penduduk,Penimbang_RT
1,1265955.357142857,5063821.428571428,3146571.428571428,1917250,2363.44413265306,3586.937453188073,896.7343632970181
1,919369.047619048,2758107.142857143,1614857.142857143,1143250,2090.786768707482,2858.135405431772,952.7118018105908
1,2239369.047619047,6718107.142857142,3825857.142857143,2892249.999999999,2573.193666666666,1773.178753645733,591.0595845485778
1,818360.1190476187,3273440.476190474,1874357.142857142,1399083.333333333,1656.253035714285,5606.847722451539,1401.711930612884
1,926259.5238095236,4631297.619047618,2647714.285714285,1983583.333333332,1961.789718367346,3405.136951675633,681.0273903351265
1,1127662.698412698,3382988.095238095,2225571.428571428,1157416.666666666,2142.758741496598,229.1358846926503,76.37862823088346
1,1291535.714285714,3874607.142857143,2415857.142857143,1458749.999999999,2093.384013605441,2211.154533918282,737.0515113060941
1,1071425,4285700,3088200,1197499.999999999,2164.436734693877,4899.957454518081,1224.98936362952
1,1299297.619047618,2598595.238095237,1260428.571428571,1338166.666666666,2222.178214285714,923.41757866863,461.7087893343149
1,839166.6666666666,2517500,1524000,993500,1881.761836734694,3177.740983675797,1059.246994558599
1,552583.3333333333,2210333.333333333,1458000,752333.3333333333,1921.754604591836,3629.127351903297,907.2818379758244
1,872922.6190476189,3491690.476190475,2136857.142857142,1354833.333333333,2086.061249999999,4411.127750771604,1102.781937692901
1,460511.9047619047,921023.8095238094,447857.1428571427,473166.6666666666,1454.723571428571,2059.50517868909,1029.752589344545
1,619432.5396825395,1858297.619047618,937714.2857142852,920583.3333333333,1299.240523809523,1752.140256968364,584.046752322788
1,784554.7619047618,784554.7619047618,340971.4285714285,443583.3333333333,1775.443265306122,27.4400328752868,27.4400328752868
1,355961.3095238095,1423845.238095238,1005428.571428571,418416.6666666666,1506.581928571428,2536.93546251873,634.2338656296826
1,1306071.428571428,2612142.857142857,1181142.857142857,1431000,1772.173714285714,752.4404260261698,376.2202130130849
1,832552.380952381,832552.380952381,330385.7142857143,502166.6666666666,1745.975714285714,27.4400328752868,27.4400328752868
1,465312.5,1861250,993000,868250,1515.514168367346,3877.243934954455,969.310983738614
